race,gender,age,is_match,similarity,predicted_match,correct
White,Male,0-2,True,0.7982055727212857,True,True
White,Male,0-2,False,0.15925741992965237,False,True
White,Male,0-2,True,0.7934058027570614,True,True
White,Male,0-2,False,0.10357977751393466,False,True
White,Male,0-2,True,0.8468271655353905,True,True
White,Male,0-2,False,0.07071298605627893,False,True
White,Male,0-2,True,0.8194697792232606,True,True
White,Male,0-2,False,0.1134757438496983,False,True
White,Male,0-2,True,0.7777910537980117,True,True
White,Male,0-2,False,0.24006754284042697,False,True
White,Male,0-2,True,0.8365362361567754,True,True
White,Male,0-2,False,0.053555147973257236,False,True
White,Male,0-2,True,0.7937815537597663,True,True
White,Male,0-2,False,0.175550147328846,False,True
White,Male,0-2,True,0.7366176815078264,False,False
White,Male,0-2,False,0.22989613461472058,False,True
White,Male,0-2,True,0.7452015807727377,False,False
White,Male,0-2,False,0.21934964325484646,False,True
White,Male,0-2,True,0.7722549576567614,True,True
White,Male,0-2,False,0.13229596354392723,False,True
White,Male,0-2,True,0.759473386258131,True,True
White,Male,0-2,False,0.2535478904554324,False,True
White,Male,0-2,True,0.7321451370624147,False,False
White,Male,0-2,False,0.19749022289029533,False,True
White,Male,0-2,True,0.7656326055060823,True,True
White,Male,0-2,False,0.1151009471906708,False,True
White,Male,0-2,True,0.7927355504041398,True,True
White,Male,0-2,False,0.1333758337531432,False,True
White,Male,0-2,True,0.7764520525772829,True,True
White,Male,0-2,False,0.1858394341163367,False,True
White,Male,0-2,True,0.7604537386053366,True,True
White,Male,0-2,False,0.13498421822508178,False,True
White,Male,0-2,True,0.79099168574824,True,True
White,Male,0-2,False,0.02760086691033275,False,True
White,Male,0-2,True,0.708541068903735,False,False
White,Male,0-2,False,0.13674321661745484,False,True
White,Male,0-2,True,0.7848886526050052,True,True
White,Male,0-2,False,0.4416185948847291,False,True
White,Male,0-2,True,0.7773500428184371,True,True
White,Male,0-2,False,0.043530605630796984,False,True
White,Male,0-2,True,0.7085341562372649,False,False
White,Male,0-2,False,0.10979616421729857,False,True
White,Male,0-2,True,0.8366712235695724,True,True
White,Male,0-2,False,0.03878135976985929,False,True
White,Male,0-2,True,0.7638700374053617,True,True
White,Male,0-2,False,0.2066490407488492,False,True
White,Male,0-2,True,0.757831726214563,True,True
White,Male,0-2,False,0.25073129575091246,False,True
White,Male,0-2,True,0.8071315123999574,True,True
White,Male,0-2,False,0.0619727317230824,False,True
White,Male,0-2,True,0.7912146858106865,True,True
White,Male,0-2,False,0.18934689933928228,False,True
White,Male,0-2,True,0.7697113913138014,True,True
White,Male,0-2,False,0.10920232090812942,False,True
White,Male,0-2,True,0.8226678634552449,True,True
White,Male,0-2,False,0.06290314193184918,False,True
White,Male,0-2,True,0.7539083656221204,True,True
White,Male,0-2,False,0.22501868556551113,False,True
White,Male,0-2,True,0.8142252177080918,True,True
White,Male,0-2,False,0.28539973180589884,False,True
White,Male,0-2,True,0.7549896780508313,True,True
White,Male,0-2,False,0.256264211350624,False,True
White,Male,0-2,True,0.7746400957858832,True,True
White,Male,0-2,False,0.1933205292849305,False,True
White,Male,0-2,True,0.684104907424637,False,False
White,Male,0-2,False,0.22851886437379312,False,True
White,Male,0-2,True,0.7714723683004121,True,True
